"fullname","fpts_dk"
Connor McDavid,13.5
Semyon Varlamov,11.4
Nikolaj Ehlers,9.0
Elvis Merzlikins,8.0
Ben Chiarot,7.0
Sean Walker,7.0
Connor Hellebuyck,6.8
Alex Chiasson,6.5
Pierre Engvall,6.5
Anders Lee,6.5
Oscar Klefbom,6.5
Blake Wheeler,6.0
Auston Matthews,6.0
Pierre-Luc Dubois,5.5
Leon Draisaitl,5.5
Devon Toews,5.5
Gustav Nyquist,5.5
Pavel Francouz,5.4
Mike Smith,5.4
Josh Morrissey,5.0
Jason Spezza,5.0
Tyson Barrie,5.0
Kasperi Kapanen,5.0
Nathan Gerbe,5.0
Trevor Lewis,4.5
Darnell Nurse,4.5
Scott Harrington,4.5
Ilya Kovalchuk,4.5
Nick Foligno,4.5
Johnny Boychuk,4.5
Tomas Tatar,4.5
Kevin Stenlund,4.5
Andrew Copp,4.5
Ethan Bear,4.0
Shea Weber,4.0
Alex Iafallo,3.5
Mitchell Marner,3.5
Frederik Gauthier,3.5
Kyle Clifford,3.5
Justin Holl,3.5
Kailer Yamamoto,3.5
Nathan MacKinnon,3.5
Alex Wennberg,3.0
Morgan Rielly,3.0
Anze Kopitar,3.0
Brock Nelson,3.0
Martin Marincin,3.0
Adam Larsson,3.0
Zach Werenski,3.0
Caleb Jones,3.0
Ben Hutton,3.0
Mason Marchment,3.0
Nick Leddy,3.0
Michael Dal Colle,2.5
Sonny Milano,2.5
Ryan Nugent-Hopkins,2.5
Ryan Pulock,2.5
Victor Mete,2.5
Kris Russell,2.5
James Neal,2.5
Ryan Graves,2.5
Scott Mayfield,2.0
Adam Brooks,2.0
Jeff Carter,2.0
Nazem Kadri,2.0
Tyler Toffoli,2.0
Seth Jones,2.0
Jordan Eberle,2.0
Joakim Nygard,2.0
David Savard,2.0
Nikolai Prokhorkin,2.0
Joonas Donskoi,2.0
Gabriel Landeskog,2.0
Mathew Barzal,2.0
J.T. Compher,2.0
Carey Price,1.8
Kyle Connor,1.5
Jeff Petry,1.5
John Tavares,1.5
Patrik Laine,1.5
Vladislav Gavrikov,1.5
Nick Cousins,1.5
Nick Suzuki,1.5
Gaetan Haas,1.5
Neal Pionk,1.5
Matt Calvert,1.5
Tucker Poolman,1.5
Josh Archibald,1.5
Luca Sbisa,1.5
Matt Martin,1.5
Blake Lizotte,1.5
Cody Ceci,1.5
Adam Lowry,1.5
Michael Amadio,1.0
Dale Weise,1.0
Jonathan Quick,1.0
Anthony Bitetto,1.0
Derick Brassard,1.0
William Nylander,1.0
Nate Thompson,1.0
Anthony Beauvillier,1.0
Jesperi Kotkaniemi,1.0
Ian Cole,1.0
Samuel Girard,1.0
Cale Fleury,1.0
Phillip Danault,1.0
Riley Nash,1.0
Erik Johnson,1.0
Boone Jenner,1.0
Marco Scandella,1.0
Josh Bailey,1.0
Jordan Weal,1.0
Jack Roslovic,1.0
Emil Bemstrom,1.0
Austin Wagner,1.0
Tom Kuhnhackl,1.0
Mathieu Perreault,1.0
Matt Nieto,0.5
Adrian Kempe,0.5
Jujhar Khaira,0.5
Casey Cizikas,0.5
Zach Hyman,0.5
Riley Sheahan,0.5
Mikko Rantanen,0.5
Cale Makar,0.5
Dustin Brown,0.5
Valeri Nichushkin,0.5
Gabriel Bourque,0.5
Andre Burakovsky,0.5
Mark Scheifele,0.5
Max Domi,0.5
Noah Dobson,0.5
Alec Martinez,0.5
Matt Roy,0.5
Drew Doughty,0.5
Derek Forbort,0.5
Eric Robinson,0.5
Frederik Andersen,0.2
Zack Kassian,0.0
Jakob Lilja,0.0
Leo Komarov,0.0
Ryan Poehling,0.0
Nikita Zadorov,0.0
Nicholas Shore,0.0
Sami Niku,0.0
Tyson Jost,0.0
Artturi Lehkonen,0.0
Alexander Kerfoot,0.0
Markus Nutivaara,0.0
Pierre-Edouard Bellemare,0.0
Travis Dermott,0.0
Mason Appleton,0.0
Michael Hutchinson,-0.4
