Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jon Rahm (14073690),Jon Rahm,14073690,G,10900,Sentry Tournament of Champions,Golf,115.36
G,Justin Thomas (14073691),Justin Thomas,14073691,G,10500,Sentry Tournament of Champions,Golf,102.7
G,Dustin Johnson (14073692),Dustin Johnson,14073692,G,10100,Sentry Tournament of Champions,Golf,105.75
G,Xander Schauffele (14073693),Xander Schauffele,14073693,G,9800,Sentry Tournament of Champions,Golf,90.25
G,Rickie Fowler (14073694),Rickie Fowler,14073694,G,9500,Sentry Tournament of Champions,Golf,61.5
G,Gary Woodland (14073695),Gary Woodland,14073695,G,9300,Sentry Tournament of Champions,Golf,96.12
G,Patrick Reed (14073696),Patrick Reed,14073696,G,9000,Sentry Tournament of Champions,Golf,83.6
G,Patrick Cantlay (14073697),Patrick Cantlay,14073697,G,8700,Sentry Tournament of Champions,Golf,95.67
G,Paul Casey (14073698),Paul Casey,14073698,G,8500,Sentry Tournament of Champions,Golf,74.58
G,Matt Kuchar (14073699),Matt Kuchar,14073699,G,8400,Sentry Tournament of Champions,Golf,67.2
G,Collin Morikawa (14073700),Collin Morikawa,14073700,G,8300,Sentry Tournament of Champions,Golf,83.12
G,Corey Conners (14073701),Corey Conners,14073701,G,8200,Sentry Tournament of Champions,Golf,76.9
G,Matthew Wolff (14073702),Matthew Wolff,14073702,G,8100,Sentry Tournament of Champions,Golf,75.17
G,Cameron Champ (14073703),Cameron Champ,14073703,G,8000,Sentry Tournament of Champions,Golf,79.5
G,Chez Reavie (14073704),Chez Reavie,14073704,G,7900,Sentry Tournament of Champions,Golf,60.29
G,Ryan Palmer (14073705),Ryan Palmer,14073705,G,7800,Sentry Tournament of Champions,Golf,87.17
G,Dylan Frittelli (14073706),Dylan Frittelli,14073706,G,7700,Sentry Tournament of Champions,Golf,76.3
G,Kevin Kisner (14073707),Kevin Kisner,14073707,G,7600,Sentry Tournament of Champions,Golf,57.25
G,Joaquin Niemann (14073708),Joaquin Niemann,14073708,G,7500,Sentry Tournament of Champions,Golf,71.17
G,Brendon Todd (14073709),Brendon Todd,14073709,G,7400,Sentry Tournament of Champions,Golf,71.88
G,J.T. Poston (14073710),J.T. Poston,14073710,G,7300,Sentry Tournament of Champions,Golf,73.92
G,Adam Long (14073711),Adam Long,14073711,G,7200,Sentry Tournament of Champions,Golf,86.21
G,Sebastian Munoz (14073712),Sebastián Muñoz,14073712,G,7100,Sentry Tournament of Champions,Golf,81.71
G,Kevin Na (14073713),Kevin Na,14073713,G,7000,Sentry Tournament of Champions,Golf,77.5
G,Sung Kang (14073714),Sung Kang,14073714,G,6900,Sentry Tournament of Champions,Golf,68.5
G,Lanto Griffin (14073715),Lanto Griffin,14073715,G,6800,Sentry Tournament of Champions,Golf,81.75
G,Keith Mitchell (14073716),Keith Mitchell,14073716,G,6700,Sentry Tournament of Champions,Golf,55
G,Nate Lashley (14073717),Nate Lashley,14073717,G,6600,Sentry Tournament of Champions,Golf,62.7
G,Tyler Duncan (14073718),Tyler Duncan,14073718,G,6500,Sentry Tournament of Champions,Golf,62.21
G,Graeme McDowell (14073719),Graeme McDowell,14073719,G,6400,Sentry Tournament of Champions,Golf,48.29
G,Max Homa (14073720),Max Homa,14073720,G,6300,Sentry Tournament of Champions,Golf,52.75
G,J.B. Holmes (14073721),J.B. Holmes,14073721,G,6200,Sentry Tournament of Champions,Golf,31.25
G,Jim Herman (14073722),Jim Herman,14073722,G,6100,Sentry Tournament of Champions,Golf,41.17
G,Martin Trainer (14073723),Martin Trainer,14073723,G,6000,Sentry Tournament of Champions,Golf,24.6
