"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42171-78707","G","Jon","Jon Rahm","Rahm","129.1999969482422","1","11900","","","","","","","",""
"42171-78893","G","Justin","Justin Thomas","Thomas","110.07499694824219","4","11700","","","","","","","",""
"42171-78766","G","Xander","Xander Schauffele","Schauffele","107.76666259765625","3","11400","","","","","","","",""
"42171-78289","G","Dustin","Dustin Johnson","Johnson","79.62631707442434","19","11200","","","","","","","",""
"42171-79435","G","Patrick","Patrick Cantlay","Cantlay","98.36666870117188","3","11000","","","","","","","",""
"42171-78722","G","Patrick","Patrick Reed","Reed","97.16666666666667","3","10800","","","","","","","",""
"42171-78093","G","Rickie","Rickie Fowler","Fowler","83.0999984741211","1","10600","","","","","","","",""
"42171-78998","G","Gary","Gary Woodland","Woodland","104.1500015258789","4","10400","","","","","","","",""
"42171-78569","G","Collin","Collin Morikawa","Morikawa","86.57499694824219","4","10200","","","","","","","",""
"42171-77922","G","Paul","Paul Casey","Casey","75.05000305175781","2","10000","","","","","","","",""
"42171-78382","G","Matt","Matt Kuchar","Kuchar","68.10000101725261","3","9900","","","","","","","",""
"42171-80553","G","Cameron","Cameron Champ","Champ","82.12000122070313","5","9700","","","","","","","",""
"42171-80558","G","Joaquin","Joaquin Niemann","Niemann","74.13333129882812","6","9500","","","","","","","",""
"42171-78904","G","Brendon","Brendon Todd","Todd","75.01249694824219","8","9300","","","","","","","",""
"42171-102280","G","Matthew","Matthew Wolff","Wolff","74.63333129882812","3","9100","","","","","","","",""
"42171-78356","G","Kevin","Kevin Kisner","Kisner","63.4","5","9000","","","","","","","",""
"42171-77966","G","Corey","Corey Conners","Conners","78.97999877929688","5","8900","","","","","","","",""
"42171-78719","G","Chez","Chez Reavie","Reavie","60.028573172433035","7","8800","","","","","","","",""
"42171-78101","G","Dylan","Dylan Frittelli","Frittelli","82.75714111328125","7","8600","","","","","","","",""
"42171-78689","G","J.T.","J.T. Poston","Poston","79.16666666666667","6","8400","","","","","","","",""
"42171-78579","G","Sebastian","Sebastian Munoz","Munoz","83.39999825613839","7","8300","","","","","","","",""
"42171-78588","G","Kevin","Kevin Na","Na","80.4","5","8200","","","","","","","",""
"42171-78636","G","Ryan","Ryan Palmer","Palmer","92.7000020345052","3","8100","","","","","","","",""
"42171-78552","G","Keith","Keith Mitchell","Mitchell","58.65999755859375","5","8000","","","","","","","",""
"42171-78456","G","Adam","Adam Long","Long","89.25714111328125","7","7900","","","","","","","",""
"42171-78403","G","Nate","Nate Lashley","Lashley","65.17999877929688","5","7800","","","","O","Undisclosed","","",""
"42171-78525","G","Graeme","Graeme McDowell","McDowell","53.666666666666664","3","7700","","","","","","","",""
"42171-78310","G","Sung","Sung Kang","Kang","71.75999755859375","5","7600","","","","","","","",""
"42171-78227","G","J.B.","J.B. Holmes","Holmes","28.700000762939453","2","7500","","","","","","","",""
"42171-79454","G","Tyler","Tyler Duncan","Duncan","66.04285539899554","7","7400","","","","","","","",""
"42171-78228","G","Max","Max Homa","Homa","49.599998474121094","4","7300","","","","","","","",""
"42171-78212","G","Jim","Jim Herman","Herman","38.5","6","7200","","","","","","","",""
"42171-78910","G","Martin","Martin Trainer","Trainer","20.91999969482422","5","7100","","","","","","","",""
"42171-79480","G","Lanto","Lanto Griffin","Griffin","87.2125015258789","8","7000","","","","","","","",""
