Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nathan MacKinnon (14086443),Nathan MacKinnon,14086443,C/UTIL,8300,COL@NYI 01/06/2020 07:00PM ET,COL,19.00
G,Frederik Andersen (14087003),Frederik Andersen,14087003,G,8200,EDM@TOR 01/06/2020 07:00PM ET,TOR,15.78
G,Michael Hutchinson (14087005),Michael Hutchinson,14087005,G,8000,EDM@TOR 01/06/2020 07:00PM ET,TOR,11.26
G,Carey Price (14087004),Carey Price,14087004,G,8000,WPG@MON 01/06/2020 07:00PM ET,MON,12.18
C,Auston Matthews (14086445),Auston Matthews,14086445,C/UTIL,7900,EDM@TOR 01/06/2020 07:00PM ET,TOR,15.85
G,Charlie Lindgren (14087007),Charlie Lindgren,14087007,G,7800,WPG@MON 01/06/2020 07:00PM ET,MON,16.1
G,Semyon Varlamov (14087006),Semyon Varlamov,14087006,G,7800,COL@NYI 01/06/2020 07:00PM ET,NYI,13.98
G,Philipp Grubauer (14087008),Philipp Grubauer,14087008,G,7700,COL@NYI 01/06/2020 07:00PM ET,COL,13.63
G,Thomas Greiss (14087009),Thomas Greiss,14087009,G,7600,COL@NYI 01/06/2020 07:00PM ET,NYI,14.27
C,Connor McDavid (14086447),Connor McDavid,14086447,C/UTIL,7500,EDM@TOR 01/06/2020 07:00PM ET,EDM,15.55
G,Pavel Francouz (14087011),Pavel Francouz,14087011,G,7500,COL@NYI 01/06/2020 07:00PM ET,COL,16.36
G,Jonathan Quick (14087010),Jonathan Quick,14087010,G,7500,CLS@LA 01/06/2020 10:30PM ET,LA,10.28
G,Jack Campbell (14087012),Jack Campbell,14087012,G,7500,CLS@LA 01/06/2020 10:30PM ET,LA,9.91
G,Joonas Korpisalo (14087013),Joonas Korpisalo,14087013,G,7400,CLS@LA 01/06/2020 10:30PM ET,CLS,13.60
C,John Tavares (14086449),John Tavares,14086449,C/UTIL,7300,EDM@TOR 01/06/2020 07:00PM ET,TOR,12.99
G,Connor Hellebuyck (14087014),Connor Hellebuyck,14087014,G,7200,WPG@MON 01/06/2020 07:00PM ET,WPG,15.57
G,Elvis Merzlikins (14087015),Elvis Merzlikins,14087015,G,7200,CLS@LA 01/06/2020 10:30PM ET,CLS,9.42
G,Matiss Kivlenieks (14087016),Matiss Kivlenieks,14087016,G,7200,CLS@LA 01/06/2020 10:30PM ET,CLS,0
G,Mikko Koskinen (14087017),Mikko Koskinen,14087017,G,7100,EDM@TOR 01/06/2020 07:00PM ET,EDM,14.1
G,Mike Smith (14087018),Mike Smith,14087018,G,7100,EDM@TOR 01/06/2020 07:00PM ET,EDM,10.17
RW,Patrik Laine (14086563),Patrik Laine,14086563,W/UTIL,7100,WPG@MON 01/06/2020 07:00PM ET,WPG,13.07
G,Laurent Brossoit (14087019),Laurent Brossoit,14087019,G,7000,WPG@MON 01/06/2020 07:00PM ET,WPG,8.57
RW,Mitchell Marner (14086565),Mitchell Marner,14086565,W/UTIL,6800,EDM@TOR 01/06/2020 07:00PM ET,TOR,13.00
C,Mark Scheifele (14086451),Mark Scheifele,14086451,C/UTIL,6800,WPG@MON 01/06/2020 07:00PM ET,WPG,12.78
C,Leon Draisaitl (14086453),Leon Draisaitl,14086453,C/UTIL,6600,EDM@TOR 01/06/2020 07:00PM ET,EDM,15.20
LW,Kyle Connor (14086567),Kyle Connor,14086567,W/UTIL,6600,WPG@MON 01/06/2020 07:00PM ET,WPG,13.10
G,Kasimir Kaskisuo (14087029),Kasimir Kaskisuo,14087029,G,6500,EDM@TOR 01/06/2020 07:00PM ET,TOR,1.4
G,Stuart Skinner (14087030),Stuart Skinner,14087030,G,6500,EDM@TOR 01/06/2020 07:00PM ET,EDM,0
G,Keith Kinkaid (14087023),Keith Kinkaid,14087023,G,6500,WPG@MON 01/06/2020 07:00PM ET,MON,8.1
G,Cayden Primeau (14087024),Cayden Primeau,14087024,G,6500,WPG@MON 01/06/2020 07:00PM ET,MON,19.2
G,Eric Comrie (14087026),Eric Comrie,14087026,G,6500,WPG@MON 01/06/2020 07:00PM ET,WPG,2.8
G,Mikhail Berdin (14087027),Mikhail Berdin,14087027,G,6500,WPG@MON 01/06/2020 07:00PM ET,WPG,0
G,Adam Werner (14087020),Adam Werner,14087020,G,6500,COL@NYI 01/06/2020 07:00PM ET,COL,14.3
G,Antoine Bibeau (14087021),Antoine Bibeau,14087021,G,6500,COL@NYI 01/06/2020 07:00PM ET,COL,7.2
