"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"42628-8193","G","Tuukka","Tuukka Rask","Rask","21.68888798466435","27","8800","BOS@PHI","BOS","PHI","","","","",""
"42628-59218","W","David","David Pastrnak","Pastrnak","21.49347852623981","46","8800","BOS@PHI","BOS","PHI","","","","",""
"42628-8718","W","Alex","Alex Ovechkin","Ovechkin","17.671739661175273","46","8700","CAR@WSH","WSH","CAR","","","","",""
"42628-15339","G","Jordan","Jordan Binnington","Binnington","20.072728012547348","33","8700","ANH@STL","STL","ANH","","","","",""
"42628-62493","W","Artemi","Artemi Panarin","Panarin","18.824999722567473","44","8500","NYI@NYR","NYR","NYI","","","","",""
"42628-15400","G","Petr","Petr Mrazek","Mrazek","17.131034061826508","29","8500","CAR@WSH","CAR","WSH","","","","",""
"42628-8732","G","Semyon","Semyon Varlamov","Varlamov","18.971429007393972","28","8400","NYI@NYR","NYI","NYR","","","","",""
"42628-83235","G","Ilya","Ilya Samsonov","Samsonov","20.700000762939453","16","8200","CAR@WSH","WSH","CAR","","","","",""
"42628-9416","G","Braden","Braden Holtby","Holtby","15.875","32","8100","CAR@WSH","WSH","CAR","","","","",""
"42628-8453","G","Jaroslav","Jaroslav Halak","Halak","20.968420731393916","19","8100","BOS@PHI","BOS","PHI","","","","",""
"42628-8452","G","Carey","Carey Price","Price","15.935134475295609","37","8000","CGY@MON","MON","CGY","","","","",""
"42628-82094","G","Alexandar","Alexandar Georgiev","Georgiev","18.439999389648438","20","7900","NYI@NYR","NYR","NYI","","","","",""
"42628-8763","W","Brad","Brad Marchand","Marchand","17.454348356827445","46","7800","BOS@PHI","BOS","PHI","","","","",""
"42628-14565","C","Mika","Mika Zibanejad","Zibanejad","18.47096695438508","31","7800","NYI@NYR","NYR","NYI","","","","",""
"42628-9052","G","James","James Reimer","Reimer","19.511111789279514","18","7800","CAR@WSH","CAR","WSH","","","","",""
"42628-8175","C","Patrice","Patrice Bergeron","Bergeron","17.405405405405407","37","7800","BOS@PHI","BOS","PHI","","","","",""
"42628-11301","G","Cam","Cam Talbot","Talbot","18.149999618530273","16","7700","CGY@MON","CGY","MON","","","","",""
"42628-73938","G","Carter","Carter Hart","Hart","14.348386702998992","31","7700","BOS@PHI","PHI","BOS","","","","",""
"42628-15268","G","John","John Gibson","Gibson","15.552940817440257","34","7700","ANH@STL","ANH","STL","","","","",""
"42628-8633","G","Thomas","Thomas Greiss","Greiss","18.91999969482422","20","7700","NYI@NYR","NYI","NYR","","","","",""
"42628-104015","G","Igor","Igor Shesterkin","Shesterkin","30","2","7500","NYI@NYR","NYR","NYI","","","","",""
"42628-73946","C","Sebastian","Sebastian Aho","Aho","14.362221950954861","45","7500","CAR@WSH","CAR","WSH","","","","",""
"42628-8556","W","Claude","Claude Giroux","Giroux","12.2022216796875","45","7500","BOS@PHI","PHI","BOS","","","","",""
"42628-9112","G","Jake","Jake Allen","Allen","18.826666259765624","15","7500","ANH@STL","STL","ANH","","","","",""
"42628-70635","G","David","David Rittich","Rittich","18.305883071001837","34","7500","CGY@MON","CGY","MON","","","","",""
"42628-54514","W","Johnny","Johnny Gaudreau","Gaudreau","12.331914374168884","47","7400","CGY@MON","CGY","MON","","","","",""
"42628-52475","C","Evgeny","Evgeny Kuznetsov","Kuznetsov","13.274418320766715","43","7400","CAR@WSH","WSH","CAR","","","","",""
"42628-103243","G","Cayden","Cayden Primeau","Primeau","22.799999237060547","2","7300","CGY@MON","MON","CGY","","","","",""
"42628-8532","G","Henrik","Henrik Lundqvist","Lundqvist","15.615999755859375","25","7300","NYI@NYR","NYR","NYI","","","","",""
"42628-8212","G","Ryan","Ryan Miller","Miller","13.466667175292969","12","7200","ANH@STL","ANH","STL","","","","",""
"42628-15306","W","Brendan","Brendan Gallagher","Gallagher","15.170731707317072","41","7200","CGY@MON","MON","CGY","DTD","Head","","",""
"42628-68647","G","Charlie","Charlie Lindgren","Lindgren","11.600000381469727","2","7100","CGY@MON","MON","CGY","","","","",""
"42628-9015","D","John","John Carlson","Carlson","18.08043504797894","46","7100","CAR@WSH","WSH","CAR","","","","",""
"42628-8553","G","Brian","Brian Elliott","Elliott","12.952380952380953","21","7100","BOS@PHI","PHI","BOS","","","","",""
